央视频道,#genre#
CCTV-1,http://dd.ddzb.fun/php/gzyx.php?id=ca1f525f17a2eddd9c98fbe17997d9df
CCTV-2,http://dd.ddzb.fun/php/gzyx.php?id=2a8ffd4ee56b3fe048ac854671336398
CCTV-3,http://dd.ddzb.fun/php/gzyx.php?id=9c19c05ea31400b3c85598e71b2c39cf
CCTV-4,http://dd.ddzb.fun/php/gzyx.php?id=0ad5b86534e39cb9a77b00a76ac9fe12
CCTV-5,http://dd.ddzb.fun/php/gzyx.php?id=4f8e268f178c3b0d2cf82c2997b0346b
CCTV-5+,http://dd.ddzb.fun/php/gzyx.php?id=33cf15c8ece66fe3c41d2e4ec707ef59
CCTV-6,http://dd.ddzb.fun/php/gzyx.php?id=f590aa425023d9a327fa1b69678f51e7
CCTV-7,http://dd.ddzb.fun/php/gzyx.php?id=3fa4584c5de70fde94692563299e998c
CCTV-8,http://dd.ddzb.fun/php/gzyx.php?id=b755332610506fe4746830b72438ae86
CCTV-9,http://dd.ddzb.fun/php/gzyx.php?id=0f8ce350b1250e8e50f4d1b10042b1c5
CCTV-10,http://dd.ddzb.fun/php/gzyx.php?id=a1a56acc29d03965227b40ff665e2377
CCTV-11,http://dd.ddzb.fun/php/gzyx.php?id=f73d2482318583c3ba7513b4e21d4a48
CCTV-12,http://dd.ddzb.fun/php/gzyx.php?id=113eb2f0bd0ca6cf1779140bd1bb525f
CCTV-13,http://dd.ddzb.fun/php/gzyx.php?id=9bd0e0cf065e0ea9f5adfb9f0bad355e
CCTV-14,http://dd.ddzb.fun/php/gzyx.php?id=9a8a29dbf54f51d4502ae2cbf87272b4
CCTV-15,http://dd.ddzb.fun/php/gzyx.php?id=3f7ce58607980e4a75c3d065ef4e33d3
CCTV-16,https://dd.ddzb.fun/php/gitv.php?id=CCTV-16&Token=ba1820a8fdd3ec48910942ed21cfb10e
CCTV-17,http://dd.ddzb.fun/php/gzyx.php?id=f5bc1ced6da68073115cc7ccd2c8925b
CCTV-1,http://8.138.7.223/tv/bjcckd.php?id=1
CCTV-2,http://8.138.7.223/tv/bjcckd.php?id=2
CCTV-3,http://8.138.7.223/tv/bjcckd.php?id=3
CCTV-4,http://8.138.7.223/tv/bjcckd.php?id=4
CCTV-5,http://8.138.7.223/tv/bjcckd.php?id=5
CCTV-5+,http://8.138.7.223/tv/bjcckd.php?id=6
CCTV-6,http://8.138.7.223/tv/bjcckd.php?id=7
CCTV-7,http://8.138.7.223/tv/bjcckd.php?id=8
CCTV-8,http://8.138.7.223/tv/bjcckd.php?id=9
CCTV-9,http://8.138.7.223/tv/bjcckd.php?id=10
CCTV-10,http://8.138.7.223/tv/bjcckd.php?id=11
